Date (YYYYMMDD),YYYY,M,D,latitude,longitude,start time (UTC),Jesse Check,Bill add,Notes,New GOES Notes,Julian day,GOES Raw,GOES Images,,,,,,,,
20000418,2000,4,18,,,,,,"MODIS only, no dust",,00109,,,,,,,,,,
20000419,2000,4,19,,,,,,"MODIS only, no dust",,00110,,,,,20010116,,,,,
20000509,2000,5,9,,,,,,"MODIS only, no dust",,00130,,,,,20010125,,,,,
20000620,2000,6,20,,,,,,"MODIS only, no dust",,00172,,,,,20010127,,,,,
20000721,2000,7,21,,,,,,,,00203,,,,,20010128,,,,,
20000722,2000,7,22,,,,,,,,00204,,,,,20010208,,,,,
20000723,2000,7,23,,,,,,,,00205,,,,,20010224,,,,,
20000724,2000,7,24,,,,,,,,00206,,,,,20010303,,,,,
20000725,2000,7,25,,,,,,,,00207,,,,,20010310,,,,,
20000726,2000,7,26,,,,,,,,00208,,,,,20010314,,,,,
20000727,2000,7,27,,,,,,,,00209,,,,,20010315,,,,,
20000730,2000,7,30,,,,,,,,00212,,,,,20010406,,,,,
20000731,2000,7,31,,,,,,,,00213,,,,,20010407,,,,,
20000801,2000,8,1,,,,,,,,00214,,,,,20010408,,,,,
20000802,2000,8,2,,,,,,,,00215,,,,,20010409,,,,,
20000804,2000,8,4,,,,,,,,00217,,,,,20010410,,,,,
20000805,2000,8,5,,,,,,,,00218,,,,,20010411,,,,,
20000806,2000,8,6,,,,,,,,00219,,,,,20010412,,,,,
20000807,2000,8,7,,,,,,,,00220,,,,,20010413,,,,,
20000808,2000,8,8,,,,,,,,00221,,,,,20010419,,,,,
20000809,2000,8,9,,,,,,,,00222,,,,,20010420,,,,,
20000810,2000,8,10,,,,,,,,00223,,,,,20010421,,,,,
20000811,2000,8,11,,,,,,,,00224,,,,,20010422,,,,,
,,,,,,,,,,All 2001 1330 - 0030 UTC hourly imagery,,x,x,,,20010502,,,,,
20010113,2001,1,13,33.89,-102.94,1800,,x,,W TX - very faint,,,,,,,,,,,
20010116,2001,1,16,30.31,-107.47,1900,x,,,Northern CHH,,,,,,20010504,,,,,
20010116,2001,1,16,29.41,-106.88,1900,x,,,Central CHH,,,,,,20010505,,,,,
20010116,2001,1,16,29.21,-106.12,1900,x,,,Central CHH,,,,,,20010505,,,,,
20010116,2001,1,16,28.6,-106.51,1930,x,,,"Subtle, Central CHH",,,,,,20010516,,,,,
20010125,2001,1,25,31.05,-107.9,1900,x,,,Northern CHH,,,,,,20010517,,,,,
20010127,2001,1,27,31.18,-107.88,2000,x,,,"Cloud coverage, northern CHH",,,,,,20010520,,,,,
20010127,2001,1,27,30.34,-107.41,1830,x,,,Northern CHH,,,,,,20010521,,,,,
20010127,2001,1,27,29.2,-106.81,1830,x,,,Central CHH,,,,,,20010526,,,,,
20010127,2001,1,27,28.89,-106.38,1830,,x,,Central CHH - faint,,,,,,,,,,,
20010128,2001,1,28,26.21,-105.1,1930,x,,,Northern Durango,,,,,,20010528,,,,,
20010128,2001,1,28,26.8,-103.92,2000,x,,,Western Coahuila,,,,,,20010601,,,,,
20010208,2001,2,8,30.55,-107.29,1730,x,,,Northern CHH,,,,,,20010602,,,,,
20010208,2001,2,8,30.35,-106.88,1700,x,,"MODIS only, Chihuahua",CHH,01039,x,x,,,20010603,,,,,
20010208,2001,2,8,29.19,-106.9,1730,x,,"MODIS only, Chihuahua",CHH,01039,x,x,,,20010604,,,,,
20010208,2001,2,8,29.1,-106.83,1730,x,,"MODIS only, Chihuahua",CHH,01039,x,x,,,20010604,,,,,
20010208,2001,2,8,29,-106.55,1730,x,,,CHH,,,,,,20010905,,,,,
20010208,2001,2,8,28.75,-106.53,1900,x,,,CHH,,,,,,20010905,,,,,
20010224,2001,2,24,34.07,-102.44,1730,x,,,west TX,,,,,,20010907,,,,,
20010224,2001,2,24,33.68,-102.68,1830,x,,,west TX,,,,,,20010908,,,,,
20010224,2001,2,24,33.26,-102.59,1730,x,,,west TX,,,,,,20011012,,,,,
20010224,2001,2,24,32.63,101.95-,1730,x,,,west TX,,,,,,20011012,,,,,
20010224,2001,2,24,32.41,-101.56,1730,x,,,west TX,,,,,,20011012,,,,,
20010224,2001,2,24,32.08,-101.58,1730,x,,,west TX,,,,,,20011012,,,,,
20010224,2001,2,24,31.04,-104.59,1730,x,,,west TX,,,,,,20011012,,,,,
20010224,2001,2,24,31.07,-103.65,1730,x,,,west TX,,,,,,20011012,,,,,
20010224,2001,2,24,34.58,-103.75,2030,x,,,Eastern NM,,,,,,20011013,,,,,
20010303,2001,3,3,31.04,-107.45,2100,x,,,Northern CHH,,,,,,20011015,,,,,
20010310,2001,3,10,31.1,-108.02,1730,x,,,Northern CHH,,,,,,20011123,,,,,
20010310,2001,3,10,30.6,-107.28,1830,x,,,Northern CHH,,,,,,20011125,,,,,
20010310,2001,3,10,29.5,-107.9,1900,x,,,CHH,,,,,,20011210,,,,,
20010314,2001,3,14,31.41,-107.39,1830,x,,,Northern CHH,,,,,,20011211,,,,,
20010314,2001,3,14,31.03,-104.8,1930,x,,,Western TX,,,,,,20011218,,,,,
20010314,2001,3,14,31.01,-103.61,1930,x,,,Western TX,,,,,,20011221,,,,,
20010314,2001,3,14,31.58,-106.11,1830,x,,,Northern CHH,,,,,,20020120,,,,,
20010314,2001,3,14,30.83,-107.09,1830,,x,,CHH,,,,,,,,,,,
20010314,2001,3,14,30.51,-107.28,1930,,x,,CHH,,,,,,,,,,,
20010314,2001,3,14,37.18,-117.05,1730,,x,,S NV,,,,,,,,,,,
20010315,2001,3,15,32.59,-102.1,1630,,x,,west TX,,,,,,,,,,,
20010315,2001,3,15,33.03,-102.1.98,1630,x,,"MODIS only, no dust",west TX,01074,x,x,,,20020122,,,,,
20010315,2001,3,15,33.4,-101.58,1630,,x,,west TX,,,,,,,,,,,
20010315,2001,3,15,33.5,-101.25,1630,x,,"MODIS only, no dust",west TX,01074,x,x,,,20020122,,,,,
20010315,2001,3,15,34,-101.05,1630,x,,"MODIS only, no dust",west TX,01074,x,x,,,20020123,,,,,
20010315,2001,3,15,34.11,-100.92,1630,x,,"MODIS only, no dust",west TX,01074,x,x,,,20020130,,,,,
20010315,2001,3,15,34.55,-100.53,1600,x,,"MODIS only, no dust",west TX,01074,x,x,,,20020218,,,,,
20010324,2001,3,24,37.32,-117.03,2100,,x,,S NV,,,,,,,,,,,
20010406,2001,4,6,31.21,-107.89,1730,x,,"MODIS only, Chihuahua",Cloud coverage. Northern CHH,01096,x,x,,,20020219,,,,,
20010406,2001,4,6,31.56,-107.48,1730,x,,"MODIS only, Chihuahua",Cloud coverage. Northern CHH,01096,x,x,,,20020219,,,,,
20010406,2001,4,6,30.77,-107.71,1600,x,,,Northern CHH,,,,,,20020220,,,,,
20010406,2001,4,6,30.54,-107.33,1600,x,,,Northern CHH,,,,,,20020220,,,,,
20010406,2001,4,6,29.43,-107.72,1600,x,,,CHH,,,,,,20020221,,,,,
20010406,2001,4,6,29.08,-107.43,1600,,x,,CHH,,,,,,,,,,,
20010406,2001,4,6,28.54,-107.39,1730,x,,,CHH,,,,,,20020223,,,,,
20010406,2001,4,6,28.67,-106.72,1800,,x,,CHH,,,,,,,,,,,
20010406,2001,4,6,28.25,-106.91,1800,,x,,CHH,,,,,,,,,,,
20010407,2001,4,7,29.2,-103,1500,,,"MODIS only, no dust",SW TX,01097,x,x,,,20020225,,,,,
20010407,2001,4,7,28.6,-103.5,1600,,,,N MX,,,,,,,,,,,
20010408,2001,4,8,38.12,-104.39,1630,x,,,Southern CO,,,,,,20020226,,,,,
20010408,2001,4,8,31.52,-107.46,1830,x,,,Northern CHH,,x,x,,,20020228,,,,,
20010408,2001,4,8,30.95,-107.01,1900,x,,,Northern CHH,,,,,,20020301,,,,,
20010408,2001,4,8,30.55,-107.27,1900,x,,,Northern CHH,,,,,,20020301,,,,,
20010409,2001,4,9,31.52,-107.99,1930,x,,,Northern CHH,,x,x,,,20020307,,,,,
20010410,2001,4,10,32.03,-107.91,1530,x,,,Southern NM,01100,x,x,,,20020308,,,,,
20010410,2001,4,10,31.2,-107.82,1600,x,,,Northern CHH,,,,,,20020311,,,,,
20010410,2001,4,10,31,-108.44,1700,,x,,Northern CHH,,,,,,20020311,,,,,
20010410,2001,4,10,30.77,-107.9,1600,,x,,Northern CHH,,,,,,,,,,,
20010410,2001,4,10,30.47,-107.5,1600,,x,,Northern CHH,,,,,,,,,,,
20010410,2001,4,10,30.2,-107.45,1600,,x,,Northern CHH,,,,,,,,,,,
20010410,2001,4,10,29.53,-107.8,1630,x,,,Cloud coverage. CHH,,,,,,20020313,,,,,
20010410,2001,4,10,29.31,-106.9,1630,x,,,Cloud coverage. CHH,,,,,,20020314,,,,,
20010410,2001,4,10,29.27,-106.75,1630,x,,,Cloud coverage. CHH,,,,,,20020314,,,,,
20010410,2001,4,10,29.05,-106.5,1630,x,,,Cloud coverage. CHH,,,,,,20020314,,,,,
20010411,2001,4,11,31.2,-103.68,1530,x,,"MODIS only, no dust",Western TX,01101,x,x,,,20020315,,,,,
20010411,2001,4,11,34.02,-103.2,1530,,x,,E NM,,,,,,,,,,,
20010411,2001,4,11,33.8,-102.97,1630,,x,,Western TX,,,,,,,,,,,
20010411,2001,4,11,33.2,-102.58,1630,,x,,Western TX,,,,,,,,,,,
20010411,2001,4,11,38.5,-102.3,1700,,x,,E CO,,,,,,,,,,,
20010412,2001,4,12,34,-104.5,1530,,,"MODIS only, no dust",Eastern NM,01102,x,x,,,20020316,,,,,
20010413,2001,4,13,37.5,-105.5,1530,,,MODIS Comfirms broad plume,Southern CO,,,,,,20020318,,,,,
20010413,2001,4,13,36.5,-105,1830,,,,Northern NM,,,,,,20020319,,,,,
20010413,2001,4,13,35.5,-107,1730,,,,NM,,,,,,20020323,,,,,
20010419,2001,4,19,37.66,-105.9,1700,x,,"MODIS only, no dust","Cloud coverage, southern CO",01109,x,x,,,20020324,,,,,
20010420,2001,4,20,35.74,-108.81,1700,x,,,Western NM,,,,,,20020329,,,,,
20010420,2001,4,20,37.82,-105.95,2000,x,,,Southern CO,,,,,,20020330,,,,,
20010420,2001,4,20,32.91,-106.31,1900,,x,,southern NM,,,,,,,,,,,
20010420,2001,4,20,31.21,-107.92,1900,,x,,northern CHH,,,,,,,,,,,
20010421,2001,4,21,31.05,-108.62,1930,x,,,Northern CHH,,,,,,20020402,,,,,
20010421,2001,4,21,31.05,-108.49,1930,x,,,Northern CHH,,,,,,20020402,,,,,
20010421,2001,4,21,31.3,-107.97,1830,x,,,Northern CHH,,,,,,20020406,,,,,
20010421,2001,4,21,30.7,-107.93,1930,,x,,Northern CHH,,,,,,,,,,,
20010421,2001,4,21,30.99,-107.03,1830,x,,,Northern CHH,,,,,,20020407,,,,,
20010421,2001,4,21,30.66,-107.1,1830,x,,,Northern CHH,,,,,,20020407,,,,,
20010421,2001,4,21,30.5,-106.7,1930,x,,,Northern CHH,,,,,,20020414,,,,,
20010421,2001,4,21,30.5,-106.7,1930,x,,,Northern CHH,,,,,,20020414,,,,,
20010422,2001,4,22,31.52,-107.5,1530,x,,,Northern CHH,,,,,,20020415,,,,,
20010422,2001,4,22,30.95,-107.17,1530,x,,,Northern CHH,,,,,,20020415,,,,,
20010422,2001,4,22,31.1,-104.8,1530,x,,,Western TX,,,,,,20020416,,,,,
20010423,2001,4,22,32.11,-107.49,1630,,x,,S NM,,,,,,,,,,,
20010424,2001,4,22,34.1,-103.41,1630,,x,,E NM,,,,,,,,,,,
20010425,2001,4,22,33.67,-102.41,1730,,x,,W TX,,,,,,,,,,,
20010426,2001,4,22,33.22,-102.41,1730,,x,,W TX,,,,,,,,,,,
20010426,2001,4,22,32.88,-102.41,1730,,x,,W TX,,,,,,,,,,,
20010426,2001,4,22,32.65,-102.65,1730,,x,,W TX,,,,,,,,,,,
20010426,2001,4,22,32.37,-102.65,1730,,x,,W TX,,,,,,,,,,,
20010427,2001,4,22,36.1,-102.55,1630,,x,,TX PH,,,,,,,,,,,
20010502,2001,5,2,35.32,-110.81,1830,x,,,AZ,,,,,,20020417,,,,,
20010502,2001,5,2,36.6,-117.86,1530,,x,,"Interesting plume in CA, moving strangely",,,,,,20020418,,,,,
20010502,2001,5,2,36.5,-119.89,1630,,x,,CA,,,,,,,,,,,
20010503,2001,5,3,35.51,-116.51,1430,,x,,CA,,,,,,,,,,,
20010504,2001,5,4,31.57,-107.5,1930,x,,,Northern CHH,,,,,,20020419,,,,,
20010504,2001,5,4,30.92,-106.99,1930,x,,,Northern CHH,,,,,,20020420,,,,,
20010505,2001,5,5,31.53,-107.48,1830,x,,,Northern CHH,,,,,,20020426,,,,,
20010505,2001,5,5,30.9,-107.01,1900,x,,,Northern CHH,,,,,,20020427,,,,,
20010516,2001,5,16,31.5,-107.47,1730,x,,,Northern CHH,,,,,,20020430,,,,,
20010516,2001,5,16,30.88,-106.98,1900,,x,,Northern CHH,,,,,,,,,,,
20010517,2001,5,17,31.53,-107.47,1830,x,,,Northern CHH,,,,,,20020501,,,,,
20010517,2001,5,17,31,-104.2,1530,,,,"Western TX, strange plume, maybe smoke",,,,,,20020502,,,,,
20010520,2001,5,20,31.51,-107.44,1930,x,,,Northern CHH,,,,,,20020507,,,,,
20010520,2001,5,20,31.11,-104.49,2000,x,,,sw texas,,,,,,20020508,,,,,
20010520,2001,5,20,32.48,-101.51,1900,x,,,west texas,,,,,,20020508,,,,,
20010521,2001,5,21,31.41,-107.5,1730,x,,,Northern CHH. Very fun plume movement!,,,,,,20020508,,,,,
20010524,2001,5,24,40.91,-119.06,1900,,x,,nw NV,,,,,,20020508,,,,,
20010526,2001,5,26,31.59,-107.47,1900,x,,,Northern CHH,,,,,,20020514,,,,,
20010527,2001,5,27,40.65,-119.51,1830,,x,,NW NV,,,,,,,,,,,
20010528,2001,5,28,31.21,-107.81,2030,x,,,Northern CHH,,,,,,20020515,,,,,
20010529,2001,5,29,30.92,-106.94,2100,,x,,Northern CHH,,,,,,,,,,,
20010529,2001,5,29,31.57,-107.39,2030,,x,,Northern CHH,,,,,,,,,,,
20010601,2001,6,1,31.52,-107.5,1930,x,,,Northern CHH,,,,,,20020518,,,,,
20010602,2001,6,2,31.51,-107.52,1930,x,,,Northern CHH,,,,,,20020520,,,,,
20010602,2001,6,2,39.94,-118.42,2100,,x,,NW NV,,,,,,,,,,,
20010603,2001,6,3,31.53,-107.52,1730,x,,,Northern CHH,,,,,,20020521,,,,,
20010603,2001,6,3,31.27,-107.9,1830,x,,,Northern CHH,,,,,,20020522,,,,,
20010603,2001,6,3,30.94,-106.97,1730,x,,,Northern CHH,,,,,,20020523,,,,,
20010604,2001,6,4,31.55,-107.26,1530,x,,,Northern CHH,,,,,,20020602,,,,,
20010604,2001,6,4,31.29,-107.99,1530,x,,,Northern CHH,,,,,,20020602,,,,,
20010608,2001,6,8,31.54,-107.53,1530,,x,,Northern CHH,,,,,,20020602,,,,,
20010608,2001,6,8,40.58,-119.62,1930,,x,,NW NV,,,,,,,,,,,
20010608,2001,6,8,39.91,-118.43,2230,,x,,NW NV,,,,,,,,,,,
20010617,2001,6,17,40.6,-119.59,2000,,x,,NW NV,,,,,,,,,,,
20010617,2001,6,17,39.87,-118.47,2130,,x,,NW NV,,,,,,,,,,,
20010624,2001,6,24,40.59,-119.58,1700,,x,,NW NV,,,,,,,,,,,
20010624,2001,6,24,39.84,-118.41,1730,,x,,NW NV,,,,,,,,,,,
20010728,2001,7,28,40.69,-119.52,1930,,x,,NW NV,,,,,,,,,,,
20010728,2001,7,28,39.91,-118.54,2030,,x,,NW NV,,,,,,,,,,,
20010729,2001,7,29,40.65,-119.53,1800,,x,,NW NV,,,,,,,,,,,
20010729,2001,7,29,39.86,-118.5,2345,,x,,NW NV,,,,,,,,,,,
20010730,2001,7,30,39.87,-118.42,2200,,x,,NW NV,,,,,,,,,,,
20010803,2001,8,3,40.51,-119.67,2015,,x,,NW NV,,,,,,,,,,,
20010818,2001,8,18,40.97,-119.05,1915,,x,,NW NV,,,,,,,,,,,
20010822,2001,8,22,40.69,-119.32,2015,,x,,NW NV,,,,,,,,,,,
20010905,2001,9,5,41.12,-118.79,1800,x,,,Western NV,,,,,,20020603,,,,,
20010905,2001,9,5,41.02,-118.76,1800,x,,,Western NV,,,,,,20020603,,,,,
20010905,2001,9,5,40.77,-119.22,1830,x,,,Western NV,,,,,,20020603,,,,,
20010905,2001,9,5,40.59,-119.58,2000,x,,,NV,,,,,,20020608,,,,,
20010905,2001,9,5,39.92,-118.31,2000,x,,,NV,,,,,,20020608,,,,,
20010906,2001,9,6,31.5,-107.18,1530,,x,,Northern CHH,,,,,,,,,,,
20010907,2001,9,7,31.51,-107.29,1630,x,,,Northern CHH,,,,,,20020609,,,,,
20010907,2001,9,7,31.13,-104.69,1530,,x,,Northern CHH,,,,,,20020609,,,,,
20010907,2001,9,7,31.04,-103.64,1530,,x,,Northern CHH,,,,,,20020609,,,,,
20010907,2001,9,7,33.37,-102.95,1530,,x,,Northern CHH,,,,,,20020609,,,,,
20010907,2001,9,7,33.91,-102.98,1530,,x,,Northern CHH,,,,,,20020609,,,,,
20010908,2001,9,8,31.52,-107.33,1630,x,,,Northern CHH,,,,,,20020614,,,,,
20011012,2001,10,12,32.13,-107.44,1700,x,,,Southern NM,01285,x,x,,,20020616,,,,,
20011012,2001,10,12,31.57,-107.31,1830,x,,,Northern CHH,,,,,,20020617,,,,,
20011012,2001,10,12,31.42,-107.28,1830,x,,,Northern CHH,,,,,,20020618,,,,,
20011012,2001,10,12,31.67,-106.18,1830,x,,,Northern CHH,,,,,,20020618,,,,,
20011012,2001,10,12,31.07,-104.74,1830,x,,,Northern CHH,,,,,,20020618,,,,,
20011013,2001,10,13,31.04,-103.74,1730,x,,"MODIS only, no dust",Western TX,01286,x,x,,,20020619,,,,,
20011015,2001,10,15,31.06,-104.78,1900,,x,,Western TX,01288,x,x,,,20020629,,,,,
20011015,2001,10,15,31,-103.75,1815,,x,,Western TX,,,,,,,,,,,
20011015,2001,10,15,33.44,-102.73,1600,,x,,Western TX,,,,,,20020630,,,,,
20011015,2001,10,15,33.18,-102.69,1600,,x,,Western TX,,,,,,,,,,,
20011015,2001,10,15,33.08,-102.35,1600,,x,,Western TX,,,,,,,,,,,
20011015,2001,10,15,33.18,-102.05,1600,,x,,Western TX,,,,,,,,,,,
20011015,2001,10,15,33.32,-101.73,1600,,x,,Western TX,,,,,,,,,,,
20011015,2001,10,15,33.62,-101.25,1600,,x,,Western TX,,,,,,,,,,,
20011015,2001,10,15,35.02,-100.23,1700,,x,,Western TX,,,,,,,,,,,
20011015,2001,10,15,34.27,-99.36,1700,,x,,Western TX,,,,,,,,,,,
20011015,2001,10,15,35.21,-98.52,1700,,x,,Western TX,,,,,,,,,,,
20011023,2001,10,23,31.08,-104.76,1900,,x,,TX,,,,,,,,,,,
20011023,2001,10,23,31.54,-104.31,1900,,x,,n CHH,,,,,,,,,,,
